Nome do ensaio	Modo de ensaio	Tipo de ensaio	Título1	Comentário1	Palavra-chave	Nome do produto	Nome do arquivo do ensaio	Nome do arquivo do método	Data do relatório	Data do ensaio	Modo de ensaio	Tipo de ensaio	Velocidade	Placa	Lote No:	Sub-Lote No:
Extensometro SG25-50 - Placa - Sthil_20210601_1518.xtak	Simples	Tração	Grupo de Mecânica Aplicada - GMAp
UFRGS	Comentário	 	 	Extensometro SG25-50 - Placa - Sthil_20210601_1518.xtak	Extensometro SG25-50 - Placa - Sthil.xmak	01/06/2021	01/06/2021	Simples	Tração	5mm/min	Placa	1	1

Placa:	Lote No:	Sub-Lote No:
Placa	1	1
Nome	Espessura	Largura	Gauge Length
Unidade:	mm	mm	mm
Ga_D_28	3.3747	13.0313	115.0000

Nome	Elástico	Inclinação_Padrão	Ruptura_Força	Máx_Força	Max_Disp_Força	Max_Disp_SG-25-50 %	Max_Disp_Deslocamento	Espessura	Largura	Gauge_Length	Máx_Tensão	YS1_Tensão
Parâmetro	Tensão 40 - 60 N/mm2	Tensão 40 - 60 N/mm2	Sensibilidade: 10	Cálculo de áreas completas							Cálculo de áreas completas	0.2 %
Unidade	N/mm2	N/mm	kN	kN	kN	%	mm	mm	mm	mm	N/mm2	N/mm2
Ga_D_28	-.-	-.-	1.27737	1.31579	1.27737	5.30476	5.12057	3.3747	13.0313	115.0000	29.9202	-.-

Ga_D_28	
Tempo	Força	Deslocamento	Desloc. SG25-50	Tensão	SG-25-50 %	Deformação
seg	kN	mm	mm	N/mm2	%	%
0	0.0111262	0	0	0.253002	0	0
0.01	0.0111262	3.125E-05	-3.178914E-05	0.253002	-0.0001271566	-0.0001271566
0.02	0.0111262	0.0001666667	-0.0001470248	0.253002	-0.0005880992	-0.0005880992
0.03	0.0111262	0.00053125	0.0001589457	0.253002	0.0006357829	0.0006357829
0.04	0.0111262	0.001072917	-2.78155E-05	0.253002	-0.000111262	-0.000111262
0.05	0.01120567	0.001729167	0.0002582868	0.2548092	0.001033147	0.001033147
0.06	0.01120567	0.002447917	1.390775E-05	0.2548092	5.5631E-05	5.5631E-05
0.07	0.01120567	0.003208333	0.0003735224	0.2548092	0.00149409	0.00149409
0.08	0.01120567	0.003989583	0.0005940596	0.2548092	0.002376239	0.002376239
0.09	0.01120567	0.004791667	0.0006993611	0.2548092	0.002797445	0.002797445
0.1	0.01120567	0.005604167	0.0007589658	0.2548092	0.003035863	0.003035863
0.11	0.01120567	0.006427083	0.0009099643	0.2548092	0.003639857	0.003639857
0.12	0.01120567	0.00725	0.001323223	0.2548092	0.005292892	0.005292892
0.13	0.01120567	0.008072916	0.001583497	0.2548092	0.006333987	0.006333987
0.14	0.01120567	0.00890625	0.001821915	0.2548092	0.007287661	0.007287661
0.15	0.01120567	0.009739583	0.001718601	0.2548092	0.006874403	0.006874403
0.16	0.01120567	0.01058333	0.002207359	0.2548092	0.008829434	0.008829434
0.17	0.01120567	0.01142708	0.002551079	0.2548092	0.01020432	0.01020432
0.18	0.01116594	0.01226042	0.002555053	0.2539056	0.01022021	0.01022021
0.19	0.0111262	0.01310417	0.002503395	0.253002	0.01001358	0.01001358
0.2	0.0111262	0.01392708	0.002920628	0.253002	0.01168251	0.01168251
0.21	0.0111262	0.01475	0.002958377	0.253002	0.01183351	0.01183351
0.22	0.01116594	0.01558333	0.0033319	0.2539056	0.0133276	0.0133276
0.23	0.01120567	0.01640625	0.003486872	0.2548092	0.01394749	0.01394749
0.24	0.01120567	0.01723958	0.003671646	0.2548092	0.01468658	0.01468658
0.25	0.01120567	0.01807292	0.003687541	0.2548092	0.01475016	0.01475016
0.26	0.01120567	0.01890625	0.003919999	0.2548092	0.01567999	0.01567999
0.27	0.01120567	0.01973958	0.003914038	0.2548092	0.01565615	0.01565615
0.28	0.01120567	0.02058333	0.00445048	0.2548092	0.01780192	0.01780192
0.29	0.01120567	0.02141667	0.00458161	0.2548092	0.01832644	0.01832644
0.3	0.01295408	0.02226042	0.004726648	0.2945666	0.01890659	0.01890659
0.31	0.02741814	0.02309375	0.005302826	0.6234692	0.02121131	0.02121131
0.32	0.02908707	0.02391667	0.005102158	0.6614195	0.02040863	0.02040863
0.33	0.0273784	0.02473958	0.005437931	0.6225657	0.02175172	0.02175172
0.34	0.02578894	0.0255625	0.005604824	0.5864225	0.02241929	0.02241929
0.35	0.02729893	0.02638542	0.005547205	0.6207585	0.02218882	0.02218882
0.36	0.0278155	0.02721875	0.006131331	0.632505	0.02452532	0.02452532
0.37	0.02793471	0.02805208	0.00615716	0.6352158	0.02462864	0.02462864
0.38	0.02888838	0.028875	0.006337961	0.6569016	0.02535184	0.02535184
0.39	0.02861023	0.02970833	0.00650088	0.6505766	0.02600352	0.02600352
0.4	0.02864997	0.03055208	0.006928047	0.6514801	0.02771219	0.02771219
0.41	0.03059705	0.03139583	0.006963809	0.6957555	0.02785524	0.02785524
0.42	0.03170967	0.03223958	0.007353226	0.7210557	0.0294129	0.0294129
0.43	0.03314018	0.03307291	0.00744462	0.7535846	0.02977848	0.02977848
0.44	0.03329913	0.03390625	0.007633368	0.7571989	0.03053347	0.03053347
0.45	0.03385544	0.03473958	0.008159876	0.769849	0.0326395	0.0326395
0.46	0.03369649	0.0355625	0.007979075	0.7662346	0.0319163	0.0319163
0.47	0.03385544	0.03638542	0.008267164	0.769849	0.03306866	0.03306866
0.48	0.03504753	0.03721875	0.008346637	0.7969564	0.03338655	0.03338655
0.49	0.03723304	0.03805208	0.008591016	0.8466532	0.03436406	0.03436406
0.5	0.03810723	0.03888541	0.00855724	0.8665318	0.03422896	0.03422896
0.51	0.03814697	0.03970833	0.00903209	0.8674355	0.03612836	0.03612836
0.52	0.03727277	0.04054167	0.009167194	0.8475568	0.03666878	0.03666878
0.53	0.03846486	0.04138542	0.009310246	0.8746641	0.03724098	0.03724098
0.54	0.03882249	0.04222916	0.009584427	0.8827963	0.03833771	0.03833771
0.55	0.04076958	0.04307292	0.00936389	0.9270717	0.03745556	0.03745556
0.56	0.04124641	0.04390625	0.009808938	0.9379146	0.03923575	0.03923575
